_id,resale_price,year,month,timeseries_month,region,town,rooms,avg_storey,floor_area_sqm,remaining_lease,dist_to_marina_bay,latitude,longitude,nearest_station_0,dist_to_station_0
117469,330000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,5.0,59.0,52.5,4.67,1.27239732679697,103.820832735739,HarbourFront MRT,0.78
117468,400000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,14.0,59.0,52.416666666666664,4.49,1.27037951175815,103.823235972289,HarbourFront MRT,0.58
117467,400000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,5.0,67.0,52.833333333333336,5.54,1.27570500784019,103.812007084346,Telok Blangah MRT,0.61
117466,368000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,11.0,76.0,51.416666666666664,4.46,1.27805365232333,103.821504615515,HarbourFront MRT,1.4
117465,370000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,11.0,65.0,51.5,4.55,1.27660794512081,103.820898125879,HarbourFront MRT,1.24
117464,350000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,5.0,66.0,59.5,4.5,1.27757228318115,103.821150540637,HarbourFront MRT,1.35
117463,325000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,8.0,59.0,51.416666666666664,4.69,1.27718546024846,103.819516181006,HarbourFront MRT,1.32
117462,583200.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,11.0,60.0,85.08333333333333,3.89,1.28306228472371,103.826059892794,Tiong Bahru MRT,0.37
117461,360000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,11.0,60.0,45.666666666666664,3.64,1.2881713453856,103.828454024092,Tiong Bahru MRT,0.25
117460,355000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,5.0,58.0,45.666666666666664,3.67,1.28789877031281,103.828203629292,Tiong Bahru MRT,0.22
117459,325000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,2.0,59.0,59.75,3.78,1.27955093259631,103.82740093837,Tiong Bahru MRT,0.72
117458,365000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,11.0,67.0,55.166666666666664,3.76,1.27700823497374,103.828056201882,Keppel MRT,0.83
117457,280000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,2.0,63.0,46.166666666666664,4.07,1.27983690191197,103.824757769108,Tiong Bahru MRT,0.75
117456,345900.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,2.0,59.0,59.75,3.78,1.27955093259631,103.82740093837,Tiong Bahru MRT,0.72
117455,330000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,2.0,59.0,59.833333333333336,3.93,1.27842357024921,103.826237590943,Tiong Bahru MRT,0.86
117454,371100.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,11.0,64.0,59.416666666666664,5.87,1.28647148628638,103.808275089948,Queenstown MRT,0.93
117453,455000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,14.0,65.0,58.833333333333336,3.81,1.29130442807028,103.827447793798,Tiong Bahru MRT,0.58
117452,305000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,8.0,60.0,43.583333333333336,5.67,1.28675654367639,103.810121713045,Redhill MRT,0.8
117451,652000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,8.0,69.0,89.5,3.66,1.28951776036854,103.828467082634,Tiong Bahru MRT,0.39
117450,503000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,8.0,72.0,57.0,2.54,1.27741630337522,103.839330846341,Outram Park MRT,0.26
117449,378888.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,8.0,67.0,59.166666666666664,4.26,1.27310165475122,103.824508572172,Keppel MRT,0.72
117448,455000.0,2022,12,2022-12-01,Central,Bukit Merah,3.0,17.0,76.0,49.666666666666664,4.14,1.28357870670139,103.823819212586,Tiong Bahru MRT,0.49
